ID,PitchNumber,GroupName,ClubName,ClubType,Astro,GrassTurf,Allocated,Playable,ShapeSTArea
50,134,Tymon Park,Faughs Gaa,GAA,No,Yes,Yes,Yes,10270.63443
51,136,Tymon Park,Faughs GAA,GAA,No,Yes,Yes,Yes,8319.215701
52,139,Tymon Park,St. Judes GAA,GAA,No,Yes,Yes,Yes,6573.202918
53,140,Tymon Park,Templeogue Utd,Soccer,No,Yes,Yes,Yes,5997.405247
54,141,Tymon Park,Templeogue Utd,Soccer,No,Yes,Yes,Yes,5997.411001
55,142,Tymon Park,St. Judes Gaa,GAA,No,Yes,Yes,Yes,10270.62464
56,143,Tymon Park,St. Judes Gaa,GAA,No,Yes,Yes,Yes,8319.212106
57,153,Tymon Park,not playable,soccer,No,Yes,No,No,5997.405913
58,151,Tymon Park,Tallaght Rugby Club,Rugby,No,Yes,Yes,Yes,9931.711559
59,152,Tymon Park,not playable,soccer,No,Yes,No,No,5997.405913
60,120,Tymonville Open Space,Tymon Celtic FC,Soccer,No,Yes,Yes,Yes,5997.406528
61,144,Tymon Park,St. Judes Gaa,GAA,No,Yes,Yes,Yes,8319.199729
62,145,Tymon Park,St. Judes Gaa,GAA,No,Yes,Yes,Yes,5324.29387
63,146,Tymon Park,Templeogue Utd,Soccer,No,Yes,Yes,Yes,3838.34085
64,150,Tymon Park,Faugh's GAA,GAA,No,Yes,Yes,Yes,8319.210068
65,149,Tymon Park,St. Judes GAA,GAA,No,Yes,Yes,Yes,10270.62074
66,148,Tymon Park,Faughs GAA,GAA,No,Yes,Yes,Yes,10270.62748
67,118,Bancroft Park,St. Maelruans FC,Soccer,No,Yes,Yes,Yes,5878.057752
68,119,Bancroft Park,St. Maelruans FC,Soccer,No,Yes,Yes,Yes,3565.161392
69,117,Kennedy's Field,Knocklyon Utd FC,Soccer,No,Yes,Yes,Yes,5997.404853
70,114,Dodder Valley Park (Cherryfield End),Ballyboden St. Enda's,GAA,No,Yes,Yes,Yes,5324.291892
71,113,Dodder Valley Park (Cherryfield End),Ballyboden St. Enda's,GAA,No,Yes,Yes,Yes,10270.63061
72,116,Delaford Open Space,Knocklyon Utd FC,Soccer,No,Yes,Yes,Yes,4644.457903
73,111,Whitechurch Open Space,Whitechurch Utd,Soccer,No,Yes,Yes,Yes,5997.374262
74,108,Glenlyon/Ballycullen,Knocklyon Utd FC,Soccer,No,Yes,Yes,Yes,5997.403625
75,109,Woodstown/Ballycullen Park,Ballyboden St. Enda's GFC,GAA,No,Yes,Yes,Yes,11195.11837
76,110,Woodstown/Ballycullen Park,Ballyboden St. Enda's GFC,GAA,No,Yes,Yes,Yes,11195.11108
77,107,Firhouse Community Centre Open Space,Firhouse Carmel FC,Soccer,No,Yes,Yes,Yes,4857.935738
78,106,Firhouse Community Centre Open Space,Firhouse Carmel FC,Soccer,No,Yes,Yes,Yes,4857.938238
81,100,Dodder Valley Park,not allocated,soccer,,Yes,No,Yes,5997.398478
82,97,Dodder Valley Park (Old Bawn End),Shamrock Rovers FC,Soccer,No,Yes,Yes,Yes,5142.132581
83,96,Dodder Valley Park (Old Bawn End),Thomas Davis GAA,GAA,No,Yes,Yes,Yes,9097.316695
84,87,Aylesbury Open Space,Thomas Davis GFC,GAA,No,Yes,Yes,Yes,5187.914247
85,88,Aylesbury Open Space,Thomas Davis GFC,GAA,No,Yes,Yes,Yes,8631.382236
